Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Año_trimestre,Total y OTROS,Total_accesos,velocidad_media_conexion(Mbps)
2015,1,La Pampa,6059,8054,45038,260,100,130,10,0,2015-01-01,59651,59651,2
2015,1,La Rioja,110,4201,9379,2207,5330,0,3,0,2015-01-01,21230,21230,6
2015,1,Mendoza,2870,240,169763,380,160,60,11,0,2015-01-01,173484,173484,3
2015,1,Misiones,9580,11136,51906,12387,8543,1940,26,0,2015-01-01,95518,95518,4
2015,1,Neuquén,1895,2577,80787,1700,4067,20,76,0,2015-01-01,91122,91122,3
2015,1,Río Negro,3371,4913,86173,940,2632,20,42,0,2015-01-01,98091,98091,3
2015,1,Salta,1123,14151,64992,13955,2569,150,5,0,2015-01-01,96945,96945,4
2015,1,San Juan,80,4450,51346,0,0,0,2,0,2015-01-01,55878,55878,3
2015,1,San Luis,100,80,12720,0,10,0,2,0,2015-01-01,12912,12912,3
2015,1,Santa Cruz,2050,270,26048,20,0,0,0,0,2015-01-01,28388,28388,3
2015,1,Santa Fe,6883,93096,360964,4527,27597,1542,900,0,2015-01-01,495509,495509,3
2015,1,Santiago Del Estero,7010,9236,23136,4796,7480,0,0,0,2015-01-01,51658,51658,4
2015,1,Tierra Del Fuego,140,6090,36319,20,0,0,0,0,2015-01-01,42569,42569,3
2015,1,Tucumán,1070,27143,83895,23061,3722,3340,0,0,2015-01-01,142231,142231,4
2014,4,Buenos Aires,8226,132937,2250445,20362,104322,9970,5406,0,2014-10-01,2531668,2531668,3
2014,4,Capital Federal,2698,62896,1038269,123451,95772,8900,7997,0,2014-10-01,1339983,1339983,4
2014,4,Catamarca,210,8047,14093,291,4210,0,1,0,2014-10-01,26852,26852,4
2014,4,Chaco,4830,12837,42106,7908,26,1240,2,0,2014-10-01,68949,68949,3
2014,4,Chubut,1858,6218,60392,700,0,0,0,0,2014-10-01,69168,69168,3
2014,4,Córdoba,1903,85362,427844,41947,30858,1177,782,0,2014-10-01,589873,589873,4
2014,4,Corrientes,400,1386,42182,7513,2106,0,9,0,2014-10-01,53596,53596,4
2014,4,Entre Ríos,2311,27801,88649,18318,3584,10,66,0,2014-10-01,140739,140739,3
2014,4,Formosa,1947,783,14058,1852,4730,470,1,0,2014-10-01,23841,23841,6
2014,4,Jujuy,188,10427,19740,3443,4650,0,0,0,2014-10-01,38448,38448,4
2014,4,La Pampa,6266,6879,36520,260,50,40,10,0,2014-10-01,50025,50025,2
2014,4,La Rioja,90,4333,9728,1943,3860,0,3,0,2014-10-01,19957,19957,5
2014,4,Mendoza,3030,190,169222,360,140,50,12,0,2014-10-01,173004,173004,3
2014,4,Misiones,5470,1184,53093,8731,2952,540,12,0,2014-10-01,71982,71982,4
2014,4,Neuquén,1731,2744,80938,1260,3621,20,66,0,2014-10-01,90380,90380,3
2014,4,Río Negro,364,4723,85094,940,2319,40,30,0,2014-10-01,93510,93510,3
2014,4,Salta,540,16214,63221,12552,1922,0,4,0,2014-10-01,94453,94453,3
2014,4,San Juan,110,4780,51628,0,0,0,2,0,2014-10-01,56520,56520,3
2014,4,San Luis,90,0,13135,0,0,10,2,0,2014-10-01,13237,13237,3
2014,4,Santa Cruz,1560,14,24145,10,10,0,0,0,2014-10-01,25739,25739,3
2014,4,Santa Fe,8707,99962,359293,36718,21098,8690,824,0,2014-10-01,535292,535292,4
2014,4,Santiago Del Estero,1246,8913,24181,4359,6020,0,0,0,2014-10-01,44719,44719,4
2014,4,Tierra Del Fuego,120,2830,31489,20,0,0,0,0,2014-10-01,34459,34459,3
2014,4,Tucumán,170,28746,85091,20631,2733,1960,0,0,2014-10-01,139331,139331,4
2014,3,Buenos Aires,7355,128187,2281524,156693,68947,2430,4232,0,2014-07-01,2649368,2649368,3
2014,3,Capital Federal,8400,78016,1060145,10217,70907,950,6626,0,2014-07-01,1235261,1235261,4
2014,3,Catamarca,190,8845,13790,1915,1110,0,0,0,2014-07-01,25850,25850,3
2014,3,Chaco,3980,14731,41934,5428,1274,50,0,0,2014-07-01,67397,67397,3
2014,3,Chubut,2013,6281,60771,340,0,0,0,0,2014-07-01,69405,69405,3
2014,3,Córdoba,6600,98992,435692,28992,18888,840,664,0,2014-07-01,590668,590668,3
2014,3,Corrientes,210,15448,41717,5181,1172,0,0,0,2014-07-01,63728,63728,3
2014,3,Entre Ríos,1709,2971,91450,12569,131,0,48,0,2014-07-01,108878,108878,3
2014,3,Formosa,2001,8323,14202,1324,850,0,0,0,2014-07-01,26700,26700,3
2014,3,Jujuy,1270,10979,20216,2305,820,0,0,0,2014-07-01,35590,35590,3
2014,3,La Pampa,6458,6645,41009,240,50,40,10,0,2014-07-01,54452,54452,2
